Board	Channel	A:	n:	chi-square	Voltage
0	0	6.94294e-21	7.01033	0.0648027	1131.55
0	1	5.07871e-21	6.98414	0.00200589	1214.97
0	2	1.55242e-23	7.67512	2.96907	1363.06
0	3	7.18878e-22	7.21182	0.24275	1273.28
0	4	4.1196e-21	7.09193	0.0119211	1123.31
0	5	4.39266e-21	7.05329	0.00734198	1156.81
0	6	7.25386e-19	6.32925	1689.21	1156.84
0	7	2.99028e-20	6.80162	0.736643	1132.75
0	8	2.90995e-23	7.57284	2.93252	1382.99
0	9	1.02699e-21	7.29273	1.0056	1120.04
0	10	7.18254e-21	6.92872	0.00533902	1223.24
0	11	1.61876e-20	6.79877	0.00421561	1243.42
0	12	9.22698e-25	8.26784	1723.79	1143.1
0	13	5.30153e-29	9.58281	888.491	1204.97
1	0	1.16844e-26	8.80009	23.9075	1226.71
1	1	7.64395e-24	7.73447	6.84782	1413.33
1	2	2.6652e-22	7.41571	0.576223	1195.82
1	3	3.52675e-21	7.02627	0.0757878	1226.34
1	4	1.42039e-23	7.68689	2.11531	1363.75
1	5	4.56535e-22	7.34568	0.444031	1189.01
1	6	7.06698e-28	9.20505	9035.78	1216.79
1	7	1.65824e-25	8.45617	17.3041	1197.08
1	8	1.83482e-27	8.91497	0.762235	1377.61
1	9	2.96607e-25	8.38744	16.6618	1183.69
1	10	2.75637e-25	8.25746	3.32358	1334.97
1	11	1.20725e-23	7.67306	0.467419	1411.2
1	12	2.29588e-17	5.93754	20598	1029.59
1	13	7.02296e-22	7.35536	2549.92	1110.98
2	0	2.35301e-21	7.09079	0.0752974	1217
2	1	7.31718e-23	7.44827	1.75858	1379.05
2	2	5.0982e-20	6.49958	2.21023	1446.83
2	3	1.13264e-19	6.49613	2.06744	1284.48
2	4	2.43585e-20	6.72272	0.0567826	1268.32
2	5	6.17208e-21	6.97891	0.00310962	1187.8
2	6	2.60589e-26	8.65126	3670.13	1263.6
2	7	2.43592e-28	9.20114	0.897318	1370.25
2	8	7.33822e-25	8.05078	8.59908	1421.96
2	9	4.13897e-23	7.69025	2.77776	1182.95
2	10	1.26245e-21	7.13279	0.341039	1273.61
2	11	7.04037e-25	8.09397	14.844	1374.94
2	12	1.66131e-28	9.46718	943.44	1164.68
2	13	9.00509e-22	7.31896	24922.7	1111.99
3	0	2.84634e-21	7.11674	0.0586274	1154.59
3	1	2.39244e-20	6.75067	3.03756	1234.63
3	2	1.58458e-21	7.19622	0.0867511	1158.65
3	3	3.79463e-21	7.05188	0.107154	1182.73
3	4	1.77072e-21	7.20057	0.0215212	1136.06
3	5	4.86423e-21	7.00011	0.0280455	1202.83
3	6	6.15037e-24	7.85681	3443.01	1297.8
3	7	3.3967e-22	7.36501	0.822958	1214.92
3	8	4.13088e-21	7.06773	0.0160964	1150.21
3	9	6.10495e-21	6.98869	0.0190979	1177.93
3	10	1.38606e-23	7.68316	2.83048	1372.91
3	11	6.28395e-22	7.31044	0.746908	1177.68
3	12	7.96209e-26	8.56555	913.091	1191.28
3	13	8.04417e-30	9.81794	633.887	1231.97
